NACA	angle	rayon	force
naca6412	5.0	0.03	0.5260382925681137
naca4424	5.0	0.03	-0.031
naca2424	5.0	0.03	-0.065
naca2424	5.0	0.04	-0.026
naca4424	5.0	0.04	0.011
naca6412	5.0	0.04	0.493
naca6412	5.0	0.05	0.575
naca4424	5.0	0.05	0.054
naca2424	5.0	0.05	0.019
naca4424	7.5	0.03	0.082
naca2424	7.5	0.03	0.028
naca_12.5115_2.04268_5.0_6	6.35877	0.03	0.277
naca_12.99274_3.12273_5.0_6	6.65414	0.035	0.312
naca_14.21236_3.72694_5.0_6	6.40845	0.04	0.206
naca_12.93497_2.84327_5.0_6	6.63384	0.045	0.333
naca_13.86015_3.37542_5.0_6	6.4863	0.05	0.257
